age,bilat_0,Damoiseaux.fit,Burke.fit,Appelman.fit,Saux.fit,McCormick.fit,Damoiseaux.se,Burke.se,Appelman.se,Saux.se,McCormick.se
0.45,No,0.054485681,NA,0.040495251,0.050724378,0.05324695,0.21835531,NA,0.274870306,0.147505489,0.195097919
0.46,No,0.054560294,NA,0.040498832,0.050774836,0.053301842,0.21673199,NA,0.273908313,0.147057951,0.193970522
0.47,No,0.054634638,NA,0.040502219,0.050825157,0.053356478,0.215112956,NA,0.272947107,0.146610972,0.192849949
0.48,No,0.054708711,NA,0.040505413,0.050875341,0.053410856,0.21349845,NA,0.271986708,0.146164559,0.191736354
0.49,No,0.054782512,NA,0.040508414,0.050925387,0.053464977,0.211888721,NA,0.271027137,0.145718717,0.190629891
0.5,No,0.054856041,NA,0.040511222,0.050975296,0.05351884,0.210284022,NA,0.270068415,0.145273453,0.189530712
0.51,No,0.054929296,NA,0.040513837,0.051025068,0.053572445,0.208684613,NA,0.269110564,0.144828775,0.188438975
0.52,No,0.055002276,NA,0.040516261,0.051074702,0.05362579,0.20709076,NA,0.268153604,0.144384688,0.187354838
0.53,No,0.055074981,NA,0.040518493,0.051124198,0.053678876,0.205502734,NA,0.267197556,0.143941199,0.186278461
0.54,No,0.055147409,NA,0.040520533,0.051173557,0.053731701,0.203920813,NA,0.266242441,0.143498315,0.185210008
0.55,No,0.055219559,NA,0.040522383,0.051222777,0.053784266,0.202345282,NA,0.265288281,0.143056042,0.184149642
0.56,No,0.055291431,NA,0.040524042,0.051271858,0.05383657,0.20077643,NA,0.264335095,0.142614387,0.18309753
0.57,No,0.055363024,NA,0.040525511,0.051320802,0.053888612,0.199214555,NA,0.263382905,0.142173357,0.182053842
0.58,No,0.055434336,NA,0.04052679,0.051369607,0.053940392,0.197659961,NA,0.262431732,0.141732959,0.181018745
0.59,No,0.055505366,NA,0.040527879,0.051418273,0.053991908,0.196112957,NA,0.261481596,0.141293199,0.179992412
